file,size,file_type,timestamp,imports,export_count,pdb_paths,key_strings
YFCalcTemp.dll,10240,"YFCalcTemp.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:50:40 2016,MSVCR100.dll; KERNEL32.dll,12,,
YFCalibrate.dll,67584,"YFCalibrate.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:53:05 2016,KERNEL32.dll; MSVCP100.dll; boost_date_time-vc100-mt-1_52.dll; boost_system-vc100-mt-1_52.dll; YFCommon.dll; lua51.dll; YFCodec.dll; MSVCR100.dll,47,E:\job\yfcam-core\dll\bin\Release\YFCalibrate.pdb,
YFCodec.dll,15872,"YFCodec.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:50:49 2016,MSVCR100.dll; KERNEL32.dll,12,E:\job\yfcam-core\dll\bin\Release\YFCodec.pdb,
YFCommon.dll,29184,"YFCommon.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:50:57 2016,KERNEL32.dll; GDI32.dll; MSVCP100.dll; boost_system-vc100-mt-1_52.dll; MSVCR100.dll,10,,
YFCorrect.dll,63488,"YFCorrect.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:46:55 2016,KERNEL32.dll; MSVCP100.dll; boost_date_time-vc100-mt-1_52.dll; boost_system-vc100-mt-1_52.dll; MSVCR100.dll,20,E:\job\yfcam-core\dll\bin\Release\YFCorrect.pdb,
YFDetector.dll,11264,"YFDetector.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:47:57 2016,MSVCR100.dll; KERNEL32.dll,24,E:\job\yfcam-core\dll\bin\Release\YFDetector.pdb,
YFDrawAna.dll,54784,"YFDrawAna.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:53:16 2016,KERNEL32.dll; USER32.dll; GDI32.dll; MSVCP100.dll; YFCommon.dll; YFIR.dll; YFFormatAnaStr.dll; YFDrawShape.dll; MSVCR100.dll,20,,yf_ana_get
YFDrawBMP.dll,63488,"YFDrawBMP.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:51:12 2016,KERNEL32.dll; USER32.dll; GDI32.dll; MSVCP100.dll; YFLog.dll; boost_date_time-vc100-mt-1_52.dll; boost_system-vc100-mt-1_52.dll; DDRAW.dll; MSVCR100.dll,16,,
YFDrawShape.dll,45568,"YFDrawShape.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:50:56 2016,MSVCP100.dll; YFFormatAnaStr.dll; MSVCR100.dll; KERNEL32.dll,7,E:\job\yfcam-core\dll\bin\Release\YFDrawShape.pdb,
YFFileIdentify.dll,9216,"YFFileIdentify.dll: PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",Thu Apr 14 16:50:45 2016,MSVCR100.dll; KERNEL32.dll,23,,
